Name,Address,Full Address,Date/Time,District,Station,Shift,Incident Type,Units
F02607030102,3325 W CARY Street,"3325 W CARY Street, Richmond, VA",2026-07-03 19:13:03,18,Station 18,C Shift,Smoke from non-hostile source (Smoke scare),"BC2, BC3, T7, T3, E6, E19, E18, E12, E10, AL1"
F02607020066,6229 DEBORA Drive,"6229 DEBORA Drive, Richmond, VA",2026-07-02 13:58:19,20,Station 20,B Shift,Structural involvement,"T9, BC3, SAFETY1, T8, E24, E23, E22, E17, E20, BC4, AL1, REHAB1"
F02606280115,1312 COALTER Street,"1312 COALTER Street, Richmond, VA",2026-06-28 22:37:17,11,Station 11,A Shift,Structural involvement,"TOWER5, T2, SAFETY1, E5, E1, BC3, E15, E13, BC1, E11, REHAB1"
F02606200085,705 N ARTHUR ASHE Boulevard,"705 N ARTHUR ASHE Boulevard, Richmond, VA",2026-06-20 18:29:03,10,Station 05,A Shift,Structural involvement,"T6, T3, SAFETY1, E6, E5, E10, BC1, E18, E12, BC2, AL1, REHAB1"
F02606200059,3105 HAWTHORNE Avenue,"3105 HAWTHORNE Avenue, Richmond, VA",2026-06-20 14:09:34,14,Station 14,A Shift,Other outside fire,"T2, T10, E17, E13, E11, E12, BC1, E1, BC3, SAFETY1, AL1"
F02606200054,4827 BROOK Road,"4827 BROOK Road, Richmond, VA",2026-06-20 14:02:37,16,Station 14,A Shift,Structural involvement,"BC4, T7, E6, T6, E19, E15, E5, E14, BC2, AL1"
F02606170051,600 E JACKSON Street,"600 E JACKSON Street, Richmond, VA",2026-06-17 10:48:52,5,Station 05,C Shift,Smoke investigation,"T2, E15, E11, E6, E1, BC1, AL1, BC3, E5, REHAB1, T10, SAFETY1"
F02606160101,2422 S KENMORE Road,"2422 S KENMORE Road, Richmond, VA",2026-06-16 19:35:17,24,Station 24,A Shift,"Room and contents fire, Structural involvement","T9, T7, SAFETY1, E24, E20, E18, E19, BC4, CE9, BC2, AL1, REHAB1"
F02606140073,7609 HILL Drive,"7609 HILL Drive, Richmond, VA",2026-06-14 18:36:11,25,Station 24,C Shift,Structural involvement,"T9, E24, E20, SAFETY1, BC4, E19, BC3, E17, T3, E10, AL1, REHAB1"
F02606130040,4031 CLINTON Avenue,"4031 CLINTON Avenue, Richmond, VA",2026-06-13 09:46:16,16,Station 16,B Shift,"Structural involvement, Trash / rubbish fire","T6, T3, E16, E15, E5, E10, BC1, BC2, AL1, E14"
